ISO,Country,Tier,Income
COD,Democratic Republic of the Congo,Prem - Synthetic POLYMOD,Low income
DNK,Denmark,Prem - Synthetic POLYMOD,High income
DJI,Djibouti,Prem - Synthetic POLYMOD,Lower middle income
DMA,Dominica,Upper middle income,Upper middle income
DOM,Dominican Republic,Prem - Synthetic POLYMOD,Upper middle income
ECU,Ecuador,Prem - Synthetic POLYMOD,Upper middle income
EGY,Egypt,Prem - Synthetic POLYMOD,Lower middle income
SLV,El Salvador,Prem - Synthetic POLYMOD,Upper middle income
GNQ,Equatorial Guinea,Prem - Synthetic POLYMOD,Upper middle income
ERI,Eritrea,Prem - Synthetic POLYMOD,Low income
EST,Estonia,Prem - Synthetic POLYMOD,High income
ETH,Ethiopia,Prem - Synthetic POLYMOD,
FLK,Falkland Islands,Global Average,Not Found
FRO,Faroe Islands,High income,High income
FJI,Fiji,Prem - Synthetic POLYMOD,Upper middle income
FIN,Finland,Prem - Synthetic POLYMOD,High income
FRA,France,Prem - Synthetic POLYMOD,High income
GUF,French Guiana,Global Average,Not Found
PYF,French Polynesia,High income,High income
ATF,French Southern Territories,Global Average,Not Found
GAB,Gabon,Prem - Synthetic POLYMOD,Upper middle income
GMB,Gambia,Prem - Synthetic POLYMOD,Low income
GEO,Georgia,Prem - Synthetic POLYMOD,Upper middle income
DEU,Germany,Prem - Synthetic POLYMOD,High income
GHA,Ghana,Prem - Synthetic POLYMOD,Lower middle income
GIB,Gibraltar,High income,High income
GRC,Greece,Prem - Synthetic POLYMOD,High income
GRL,Greenland,High income,High income
GRD,Grenada,Upper middle income,Upper middle income
GLP,Guadeloupe,Global Average,Not Found
GUM,Guam,High income,High income
GTM,Guatemala,Prem - Synthetic POLYMOD,Upper middle income
GGY,Guernsey,Global Average,Not Found
GIN,Guinea,Prem - Synthetic POLYMOD,Lower middle income
GNB,Guinea-Bissau,Prem - Synthetic POLYMOD,Low income
GUY,Guyana,Prem - Synthetic POLYMOD,High income
HTI,Haiti,Lower middle income,Lower middle income
HMD,Heard Island and McDonald Island,Global Average,Not Found
HND,Honduras,Prem - Synthetic POLYMOD,Lower middle income
HUN,Hungary,Prem - Synthetic POLYMOD,High income
ISL,Iceland,Prem - Synthetic POLYMOD,High income
IND,India,Prem - Synthetic POLYMOD,Lower middle income
IDN,Indonesia,Prem - Synthetic POLYMOD,Upper middle income
IRN,Iran,Prem - Synthetic POLYMOD,Upper middle income
IRQ,Iraq,Prem - Synthetic POLYMOD,Upper middle income
IRL,Ireland,Prem - Synthetic POLYMOD,High income
IMN,Isle of Man,High income,High income
ISR,Israel,Prem - Synthetic POLYMOD,High income
ITA,Italy,Prem - Synthetic POLYMOD,High income
JAM,Jamaica,Prem - Synthetic POLYMOD,Upper middle income
JPN,Japan,High income,High income
JEY,Jersey,Global Average,Not Found
JOR,Jordan,Prem - Synthetic POLYMOD,Lower middle income
KAZ,Kazakhstan,Prem - Synthetic POLYMOD,Upper middle income
KEN,Kenya,Prem - Synthetic POLYMOD,Lower middle income
KIR,Kiribati,Lower middle income,Lower middle income
KWT,Kuwait,Prem - Synthetic POLYMOD,High income
KGZ,Kyrgyzstan,Prem - Synthetic POLYMOD,Lower middle income
LAO,Laos,Prem - Synthetic POLYMOD,Lower middle income
LVA,Latvia,Prem - Synthetic POLYMOD,High income
LBN,Lebanon,Lower middle income,Lower middle income
LSO,Lesotho,Prem - Synthetic POLYMOD,Lower middle income
LBR,Liberia,Prem - Synthetic POLYMOD,Low income
LBY,Libya,Prem - Synthetic POLYMOD,Upper middle income
LIE,Liechtenstein,High income,High income
LTU,Lithuania,Prem - Synthetic POLYMOD,High income
LUX,Luxembourg,Prem - Synthetic POLYMOD,High income
MDG,Madagascar,Prem - Synthetic POLYMOD,Low income
MWI,Malawi,Prem - Synthetic POLYMOD,Low income
MYS,Malaysia,Prem - Synthetic POLYMOD,Upper middle income
MDV,Maldives,Prem - Synthetic POLYMOD,Upper middle income
MLI,Mali,Prem - Synthetic POLYMOD,Low income
MLT,Malta,Prem - Synthetic POLYMOD,High income
MHL,Marshall Islands,Upper middle income,Upper middle income
MTQ,Martinique,Global Average,Not Found
MRT,Mauritania,Prem - Synthetic POLYMOD,Lower middle income
MUS,Mauritius,Prem - Synthetic POLYMOD,Upper middle income
MYT,Mayotte,Global Average,Not Found
MEX,Mexico,Prem - Synthetic POLYMOD,Upper middle income
FSM,Micronesia,Lower middle income,Lower middle income
MDA,Moldova,Prem - Synthetic POLYMOD,Upper middle income
MCO,Monaco,High income,High income
MNG,Mongolia,Prem - Synthetic POLYMOD,Upper middle income
MNE,Montenegro,Prem - Synthetic POLYMOD,Upper middle income
MSR,Montserrat,Global Average,Not Found
MAR,Morocco,Prem - Synthetic POLYMOD,Lower middle income
MOZ,Mozambique,Prem - Synthetic POLYMOD,Low income
MMR,Myanmar,Prem - Synthetic POLYMOD,Lower middle income
NAM,Namibia,Prem - Synthetic POLYMOD,Lower middle income
NRU,Nauru,High income,High income
NPL,Nepal,Prem - Synthetic POLYMOD,Lower middle income
NLD,Netherlands,Prem - Synthetic POLYMOD,High income
NCL,New Caledonia,High income,High income
NZL,New Zealand,Prem - Synthetic POLYMOD,High income
NIC,Nicaragua,Prem - Synthetic POLYMOD,Lower middle income
NER,Niger,Prem - Synthetic POLYMOD,Low income
NGA,Nigeria,Prem - Synthetic POLYMOD,Lower middle income
NIU,Niue,Global Average,Not Found
NFK,Norfolk Island,Global Average,Not Found
PRK,North Korea,Prem - Synthetic POLYMOD,Low income
MKD,North Macedonia,Prem - Synthetic POLYMOD,Upper middle income
ZNC,Northern Cyprus,High income,Not Found
MNP,Northern Mariana Islands,High income,High income
NOR,Norway,Prem - Synthetic POLYMOD,High income
OMN,Oman,Prem - Synthetic POLYMOD,High income
PAK,Pakistan,Prem - Synthetic POLYMOD,Lower middle income
PLW,Palau,High income,High income
PSE,Palestine,Prem - Synthetic POLYMOD,Lower middle income
PAN,Panama,Prem - Synthetic POLYMOD,High income
PNG,Papua New Guinea,Prem - Synthetic POLYMOD,Lower middle income
XPI,Paracel Islands,Global Average,Not Found
PRY,Paraguay,Prem - Synthetic POLYMOD,Upper middle income
PER,Peru,Prem - Synthetic POLYMOD,Upper middle income
PHL,Philippines,Prem - Synthetic POLYMOD,Lower middle income
PCN,Pitcairn Islands,Global Average,Not Found
POL,Poland,Prem - Synthetic POLYMOD,High income
PRT,Portugal,Prem - Synthetic POLYMOD,High income
PRI,Puerto Rico,Prem - Synthetic POLYMOD,High income
QAT,Qatar,Prem - Synthetic POLYMOD,High income
COG,Republic of the Congo,Prem - Synthetic POLYMOD,Lower middle income
REU,Reunion,Global Average,Not Found
ROU,Romania,Prem - Synthetic POLYMOD,High income
RUS,Russia,Prem - Synthetic POLYMOD,High income
RWA,Rwanda,Prem - Synthetic POLYMOD,Low income
SHN,"Saint Helena, Ascension and Tris",Global Average,Not Found
KNA,Saint Kitts and Nevis,High income,High income
LCA,Saint Lucia,Prem - Synthetic POLYMOD,Upper middle income
SPM,Saint Pierre and Miquelon,Global Average,Not Found
VCT,Saint Vincent and the Grenadines,Prem - Synthetic POLYMOD,Upper middle income
BLM,Saint-Barthelemy,Global Average,Not Found
MAF,Saint-Martin,High income,High income
WSM,Samoa,Prem - Synthetic POLYMOD,Upper middle income
SMR,San Marino,High income,High income
STP,Sao Tome and Principe,Prem - Synthetic POLYMOD,Lower middle income
SAU,Saudi Arabia,Prem - Synthetic POLYMOD,High income
SEN,Senegal,Prem - Synthetic POLYMOD,Lower middle income
SRB,Serbia,Prem - Synthetic POLYMOD,Upper middle income
SYC,Seychelles,High income,High income
SLE,Sierra Leone,Prem - Synthetic POLYMOD,Low income
SGP,Singapore,Prem - Synthetic POLYMOD,High income
SXM,Sint Maarten,High income,High income
SVK,Slovakia,Prem - Synthetic POLYMOD,High income
SVN,Slovenia,Prem - Synthetic POLYMOD,High income
SLB,Solomon Islands,Prem - Synthetic POLYMOD,Lower middle income
SOM,Somalia,Low income,Low income
ZAF,South Africa,Prem - Synthetic POLYMOD,Upper middle income
SGS,South Georgia and the South Sand,Global Average,Not Found
KOR,South Korea,Prem - Synthetic POLYMOD,High income
SSD,South Sudan,Prem - Synthetic POLYMOD,Low income
ESP,Spain,Prem - Synthetic POLYMOD,High income
XSP,Spratly Islands,Global Average,Not Found
LKA,Sri Lanka,Prem - Synthetic POLYMOD,Lower middle income
SDN,Sudan,Prem - Synthetic POLYMOD,Low income
SUR,Suriname,Prem - Synthetic POLYMOD,Upper middle income
SJM,Svalbard and Jan Mayen,Global Average,Not Found
SWZ,Swaziland,Prem - Synthetic POLYMOD,Lower middle income
SWE,Sweden,Prem - Synthetic POLYMOD,High income
CHE,Switzerland,Prem - Synthetic POLYMOD,High income
SYR,Syria,Prem - Synthetic POLYMOD,Low income
TJK,Tajikistan,Prem - Synthetic POLYMOD,Lower middle income
TZA,Tanzania,Prem - Synthetic POLYMOD,Lower middle income
THA,Thailand,Prem - Synthetic POLYMOD,Upper middle income
TLS,Timor-Leste,Prem - Synthetic POLYMOD,Lower middle income
TGO,Togo,Prem - Synthetic POLYMOD,Low income
TKL,Tokelau,Global Average,Not Found
TON,Tonga,Prem - Synthetic POLYMOD,Upper middle income
TTO,Trinidad and Tobago,Prem - Synthetic POLYMOD,High income
TUN,Tunisia,Prem - Synthetic POLYMOD,Lower middle income
TUR,Turkey,Prem - Synthetic POLYMOD,Upper middle income
TKM,Turkmenistan,Prem - Synthetic POLYMOD,Upper middle income
TCA,Turks and Caicos Islands,High income,High income
TUV,Tuvalu,Upper middle income,Upper middle income
UGA,Uganda,Prem - Synthetic POLYMOD,Low income
UKR,Ukraine,Prem - Synthetic POLYMOD,Upper middle income
ARE,United Arab Emirates,Prem - Synthetic POLYMOD,High income
GBR,United Kingdom,Prem - Synthetic POLYMOD,High income
USA,United States,Prem - Synthetic POLYMOD,High income
UMI,United States Minor Outlying Isl,Global Average,Not Found
URY,Uruguay,Prem - Synthetic POLYMOD,High income
UZB,Uzbekistan,Prem - Synthetic POLYMOD,Lower middle income
VUT,Vanuatu,Prem - Synthetic POLYMOD,Lower middle income
VAT,Vatican City,Global Average,Not Found
VEN,Venezuela,Prem - Synthetic POLYMOD,Not Found
VNM,Vietnam,Prem - Synthetic POLYMOD,Lower middle income
VIR,"Virgin Islands, U.S.",High income,High income
WLF,Wallis and Futuna,Global Average,Not Found
ESH,Western Sahara,Global Average,Not Found
YEM,Yemen,Prem - Synthetic POLYMOD,Low income
ZMB,Zambia,Prem - Synthetic POLYMOD,Lower middle income
ZWE,Zimbabwe,Prem - Synthetic POLYMOD,Lower middle income
